timestamp,alert_type,region_id,detail,region_pixels,closest_mm,center_x,center_y
2026-05-21T16:21:05.661191,WARNING,WARNING_119_71_462,"HOT region in valid range | closest=856mm | center=(119,71)",462,856,119,71
2026-05-21T16:21:05.728968,CRITICAL,CRITICAL_110_44_559,"DANGEROUS region in valid range | closest=239mm | center=(110,44)",559,239,110,44
2026-05-21T16:21:05.728968,WARNING,WARNING_108_56_455,"HOT region in valid range | closest=238mm | center=(108,56)",455,238,108,56
2026-05-21T16:21:05.796709,CRITICAL,CRITICAL_102_40_251,"DANGEROUS region in valid range | closest=238mm | center=(102,40)",251,238,102,40
2026-05-21T16:21:05.796709,WARNING,WARNING_101_39_233,"HOT region in valid range | closest=238mm | center=(101,39)",233,238,101,39
2026-05-21T16:21:05.916681,CRITICAL,CRITICAL_91_54_836,"DANGEROUS region in valid range | closest=782mm | center=(91,54)",836,782,91,54
2026-05-21T16:21:05.916681,WARNING,WARNING_96_53_358,"HOT region in valid range | closest=774mm | center=(96,53)",358,774,96,53
2026-05-21T16:21:05.984573,CRITICAL,CRITICAL_84_76_880,"DANGEROUS region in valid range | closest=840mm | center=(84,76)",880,840,84,76
2026-05-21T16:21:05.984573,WARNING,WARNING_93_66_598,"HOT region in valid range | closest=812mm | center=(93,66)",598,812,93,66
2026-05-21T16:21:06.052258,CRITICAL,CRITICAL_90_129_795,"DANGEROUS region in valid range | closest=157mm | center=(90,129)",795,157,90,129
2026-05-21T16:21:06.052258,WARNING,WARNING_90_116_520,"HOT region in valid range | closest=156mm | center=(90,116)",520,156,90,116
2026-05-21T16:21:06.120503,CRITICAL,CRITICAL_101_171_472,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(101,171)",472,-1,101,171
2026-05-21T16:21:06.120503,WARNING,WARNING_100_163_277,"HOT region | MIXED RANGE | closest=-1mm | center=(100,163)",277,-1,100,163
2026-05-21T16:21:06.160120,WARNING,WARNING_107_182_267,DANGEROUS region BUT FAR | monitoring,267,-1,107,182
2026-05-21T16:21:06.160120,WARNING,WARNING_104_174_146,"HOT region | MIXED RANGE | closest=-1mm | center=(104,174)",146,-1,104,174
2026-05-21T16:21:06.221815,WARNING,WARNING_108_187_95,DANGEROUS region BUT FAR | monitoring,95,-1,108,187
2026-05-21T16:21:06.221815,WARNING,WARNING_107_185_35,HOT region BUT FAR | monitoring,35,-1,107,185
2026-05-21T16:21:06.318024,CRITICAL,CRITICAL_105_182_196,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(105,182)",196,-1,105,182
2026-05-21T16:21:06.318024,WARNING,WARNING_100_175_55,"HOT region | MIXED RANGE | closest=-1mm | center=(100,175)",55,-1,100,175
2026-05-21T16:21:06.318024,WARNING,WARNING_111_184_19,"HOT region | MIXED RANGE | closest=-1mm | center=(111,184)",19,-1,111,184
2026-05-21T16:21:06.385842,CRITICAL,CRITICAL_99_160_159,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(99,160)",159,-1,99,160
2026-05-21T16:21:06.385842,WARNING,WARNING_100_163_175,"HOT region | MIXED RANGE | closest=-1mm | center=(100,163)",175,-1,100,163
2026-05-21T16:21:06.718104,CRITICAL,CRITICAL_84_25_72,"DANGEROUS region in valid range | closest=237mm | center=(84,25)",72,237,84,25
2026-05-21T16:21:06.718104,WARNING,WARNING_83_25_193,"HOT region in valid range | closest=237mm | center=(83,25)",193,237,83,25
2026-05-21T16:21:06.786007,CRITICAL,CRITICAL_92_50_947,"DANGEROUS region in valid range | closest=237mm | center=(92,50)",947,237,92,50
2026-05-21T16:21:06.786007,WARNING,WARNING_94_49_626,"HOT region in valid range | closest=238mm | center=(94,49)",626,238,94,49
2026-05-21T16:21:06.853774,CRITICAL,CRITICAL_90_124_950,"DANGEROUS region in valid range | closest=951mm | center=(90,124)",950,951,90,124
2026-05-21T16:21:06.853774,WARNING,WARNING_92_94_1095,"HOT region in valid range | closest=507mm | center=(92,94)",1095,507,92,94
2026-05-21T16:21:07.823716,WARNING,WARNING_84_78_58,"HOT region in valid range | closest=911mm | center=(84,78)",58,911,84,78
2026-05-21T16:21:07.918516,CRITICAL,CRITICAL_90_115_345,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(90,115)",345,-1,90,115
2026-05-21T16:21:07.918516,WARNING,WARNING_89_108_282,"HOT region in valid range | closest=943mm | center=(89,108)",282,943,89,108
2026-05-21T16:21:07.966784,WARNING,WARNING_93_133_352,DANGEROUS region | TOO CLOSE | sensor range invalid,352,-1,93,133
2026-05-21T16:21:07.966784,WARNING,WARNING_92_125_230,HOT region | TOO CLOSE | sensor range invalid,230,-1,92,125
2026-05-21T16:21:08.023737,WARNING,WARNING_94_154_188,DANGEROUS region | TOO CLOSE | sensor range invalid,188,-1,94,154
2026-05-21T16:21:08.023737,WARNING,WARNING_93_147_179,HOT region | TOO CLOSE | sensor range invalid,179,-1,93,147
2026-05-21T16:21:08.089983,WARNING,WARNING_87_161_13,DANGEROUS region | TOO CLOSE | sensor range invalid,13,-1,87,161
2026-05-21T16:21:08.089983,WARNING,WARNING_87_162_32,"HOT region in valid range | closest=158mm | center=(87,162)",32,158,87,162
2026-05-21T16:21:08.156681,WARNING,WARNING_84_154_73,DANGEROUS region | TOO CLOSE | sensor range invalid,73,-1,84,154
2026-05-21T16:21:08.156681,WARNING,WARNING_83_155_57,HOT region | TOO CLOSE | sensor range invalid,57,-1,83,155
2026-05-21T16:21:08.224264,WARNING,WARNING_81_130_61,HOT region | TOO CLOSE | sensor range invalid,61,-1,81,130
2026-05-21T16:21:08.318641,CRITICAL,CRITICAL_77_112_321,"DANGEROUS region in valid range | closest=505mm | center=(77,112)",321,505,77,112
2026-05-21T16:21:08.318641,WARNING,WARNING_75_115_127,"HOT region in valid range | closest=494mm | center=(75,115)",127,494,75,115
2026-05-21T16:21:08.318641,WARNING,WARNING_84_108_6,"HOT region | MIXED RANGE | closest=-1mm | center=(84,108)",6,-1,84,108
2026-05-21T16:21:08.386728,CRITICAL,CRITICAL_76_108_510,"DANGEROUS region in valid range | closest=489mm | center=(76,108)",510,489,76,108
2026-05-21T16:21:08.386728,WARNING,WARNING_74_114_205,"HOT region in valid range | closest=458mm | center=(74,114)",205,458,74,114
2026-05-21T16:21:08.386728,WARNING,WARNING_85_108_15,"HOT region | MIXED RANGE | closest=-1mm | center=(85,108)",15,-1,85,108
2026-05-21T16:21:08.454440,CRITICAL,CRITICAL_93_113_1052,"DANGEROUS region in valid range | closest=933mm | center=(93,113)",1052,933,93,113
2026-05-21T16:21:08.454440,WARNING,WARNING_92_108_526,"HOT region in valid range | closest=915mm | center=(92,108)",526,915,92,108
2026-05-21T16:21:08.522770,CRITICAL,CRITICAL_93_160_804,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(93,160)",804,-1,93,160
2026-05-21T16:21:08.522770,WARNING,WARNING_93_147_682,"HOT region in valid range | closest=162mm | center=(93,147)",682,162,93,147
2026-05-21T16:21:08.590399,CRITICAL,CRITICAL_99_173_801,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(99,173)",801,-1,99,173
2026-05-21T16:21:08.590399,WARNING,WARNING_97_163_389,"HOT region | MIXED RANGE | closest=-1mm | center=(97,163)",389,-1,97,163
2026-05-21T16:21:08.658022,CRITICAL,CRITICAL_112_186_201,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(112,186)",201,-1,112,186
2026-05-21T16:21:08.658022,WARNING,WARNING_105_183_120,HOT region BUT FAR | monitoring,120,-1,105,183
2026-05-21T16:21:08.725615,CRITICAL,CRITICAL_130_171_867,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(130,171)",867,-1,130,171
2026-05-21T16:21:08.725615,WARNING,WARNING_131_174_380,"HOT region | MIXED RANGE | closest=-1mm | center=(131,174)",380,-1,131,174
2026-05-21T16:21:08.793288,CRITICAL,CRITICAL_142_156_1136,"DANGEROUS region | MIXED RANGE | closest=-1mm | center=(142,156)",1136,-1,142,156
2026-05-21T16:21:08.793288,WARNING,WARNING_136_161_638,"HOT region | MIXED RANGE | closest=-1mm | center=(136,161)",638,-1,136,161
2026-05-21T16:21:08.860953,CRITICAL,CRITICAL_175_123_1223,"DANGEROUS region in valid range | closest=157mm | center=(175,123)",1223,157,175,123
2026-05-21T16:21:08.860953,WARNING,WARNING_166_132_789,"HOT region | MIXED RANGE | closest=-1mm | center=(166,132)",789,-1,166,132
2026-05-21T16:21:08.928814,CRITICAL,CRITICAL_197_96_1261,"DANGEROUS region in valid range | closest=155mm | center=(197,96)",1261,155,197,96
2026-05-21T16:21:08.928814,WARNING,WARNING_182_109_1004,"HOT region in valid range | closest=180mm | center=(182,109)",1004,180,182,109
2026-05-21T16:21:08.997237,CRITICAL,CRITICAL_217_86_894,"DANGEROUS region in valid range | closest=155mm | center=(217,86)",894,155,217,86
2026-05-21T16:21:08.997237,WARNING,WARNING_203_92_748,"HOT region in valid range | closest=155mm | center=(203,92)",748,155,203,92
2026-05-21T16:21:08.997237,WARNING,WARNING_165_117_283,HOT region | TOO CLOSE | sensor range invalid,283,-1,165,117
2026-05-21T16:21:09.036535,WARNING,WARNING_242_80_505,DANGEROUS region | TOO CLOSE | sensor range invalid,505,-1,242,80
2026-05-21T16:21:09.036535,WARNING,WARNING_232_83_405,HOT region | TOO CLOSE | sensor range invalid,405,-1,232,83
2026-05-21T16:21:09.090206,WARNING,WARNING_254_76_15,DANGEROUS region | TOO CLOSE | sensor range invalid,15,-1,254,76
2026-05-21T16:21:09.090206,WARNING,WARNING_252_77_78,HOT region | TOO CLOSE | sensor range invalid,78,-1,252,77
